fold,dice,iou,sensitivity,precision
0,0.601848265730207,0.4872024600301621,0.6210178631897035,0.6699554566152489
1,0.40962222225592637,0.31558943226148123,0.3973825191411972,0.6809776180439606
2,0.6386328033498816,0.5065178722143173,0.6673672090511065,0.6702078677512504
3,0.5186642306473267,0.38910819669094954,0.5994274070502564,0.5660276338141607
4,0.5246548881988878,0.407599270819597,0.6386940468261156,0.5948994473497283
